,latitude,longitude,color
517,40.747565,-73.956339,#00aa0088
518,40.740942,-73.978777,#aa000088
519,40.72933,-73.987079,#00aa0088
520,40.77363,-73.959775,#aa000088
521,40.806944,-73.960868,#00aa0088
522,40.737668,-73.996889,#aa000088
523,40.777175,-73.961416,#00aa0088
524,40.757852,-73.972047,#aa000088
525,40.767122,-73.9624,#00aa0088
526,40.743364,-73.983809,#aa000088
527,40.725949,-73.996403,#00aa0088
528,40.725008,-73.992201,#aa000088
529,40.72982,-74.003973,#00aa0088
530,40.721889,-74.00422,#aa000088
531,40.738126,-74.009002,#00aa0088
532,40.78028,-73.954981,#aa000088
533,40.759403,-73.975565,#00aa0088
534,40.783536,-73.978105,#aa000088
535,40.760831,-73.991042,#00aa0088
536,40.758623,-73.967624,#aa000088
537,40.752775,-74.001891,#00aa0088
538,40.725921,-73.986527,#aa000088
539,40.721395,-73.983993,#00aa0088
540,40.745205,-73.984858,#aa000088
541,40.749973,-74.002523,#00aa0088
542,40.758314,-73.988112,#aa000088
543,40.762292,-73.912968,#00aa0088
544,40.730807,-74.006531,#aa000088
545,40.739999,-73.994871,#00aa0088
546,40.734685,-73.994462,#aa000088
547,40.766473,-73.95708,#00aa0088
548,40.762759,-73.969571,#aa000088
549,40.74044,-73.985823,#00aa0088
550,40.763526,-73.97734,#aa000088
551,40.750836,-73.977855,#00aa0088
552,40.774004,-73.87448,#aa000088
553,40.777344,-73.954951,#00aa0088
554,40.783908,-73.95254,#aa000088
555,40.74821,-73.98911,#00aa0088
556,40.732193,-73.985184,#aa000088
557,40.707706,-73.962365,#00aa0088
558,40.760338,-73.958377,#aa000088
559,40.763978,-73.973171,#00aa0088
560,40.782493,-73.98259,#aa000088
561,40.79289,-73.975025,#00aa0088
562,40.708974,-74.002455,#aa000088
563,40.719976,-73.989903,#00aa0088
564,40.721491,-74.010078,#aa000088
565,40.737682,-73.983892,#00aa0088
566,40.730895,-74.001402,#aa000088
567,40.752883,-73.978784,#00aa0088
568,40.776422,-73.952968,#aa000088
569,40.761052,-73.973652,#00aa0088
570,40.708935,-74.016922,#aa000088
571,40.716321,-74.01461,#00aa0088
572,40.770081,-73.96445,#aa000088
573,40.786321,-73.954883,#00aa0088
574,40.737244,-73.996734,#aa000088
575,40.735876,-73.979385,#00aa0088
576,40.762954,-73.982046,#aa000088
577,40.77973,-73.948195,#00aa0088
578,40.777592,-73.948985,#aa000088
579,40.785932,-73.945919,#00aa0088
580,40.774054,-73.874512,#aa000088
581,40.75499,-73.973266,#00aa0088
582,40.744209,-73.999933,#aa000088
583,40.742651,-74.004104,#00aa0088
584,40.778789,-73.948311,#aa000088
585,40.769185,-73.984748,#00aa0088
586,40.750601,-73.974616,#aa000088
587,40.779341,-73.957502,#00aa0088
588,40.738021,-73.987166,#aa000088
589,40.756501,-73.970038,#00aa0088
590,40.779385,-73.950746,#aa000088
591,40.750706,-73.97186,#00aa0088
592,40.792964,-73.940726,#aa000088
593,40.727207,-73.984227,#00aa0088
594,40.774142,-73.872978,#aa000088
595,40.750994,-73.972589,#00aa0088
596,40.764722,-73.97256,#aa000088
597,40.716783,-74.010817,#00aa0088
598,40.734226,-73.989883,#aa000088
599,40.760325,-73.971423,#00aa0088
600,40.747122,-73.974144,#aa000088
601,40.74757,-73.974418,#00aa0088
602,40.756814,-73.969034,#aa000088
603,40.768491,-73.95965,#00aa0088
604,40.783637,-73.981592,#aa000088
605,40.776008,-73.982248,#00aa0088
606,40.768534,-73.894341,#aa000088
607,40.776075,-73.910584,#00aa0088
608,40.770217,-73.964401,#aa000088
609,40.786605,-73.968384,#00aa0088
610,40.751159,-73.974682,#aa000088
611,40.757923,-73.972732,#00aa0088
612,40.743753,-73.987923,#aa000088
613,40.762565,-73.973934,#00aa0088
614,40.724684,-73.995617,#aa000088
615,40.730099,-74.008284,#00aa0088
616,40.77573,-73.953335,#aa000088
617,40.762419,-73.962764,#00aa0088
618,40.753261,-73.982947,#aa000088
619,40.740753,-73.978442,#00aa0088
620,40.754147,-73.968968,#aa000088
621,40.726814,-73.987095,#00aa0088
622,40.77283,-73.96673,#aa000088
623,40.725793,-73.99614,#00aa0088
624,40.795453,-73.971751,#aa000088
625,40.717908,-74.007395,#00aa0088
626,40.7788,-73.958512,#aa000088
627,40.754898,-73.972384,#00aa0088
628,40.715315,-74.016881,#aa000088
629,40.704951,-74.016561,#00aa0088
630,40.758236,-73.992191,#aa000088
631,40.740894,-73.982016,#00aa0088
632,40.706763,-74.008422,#aa000088
633,40.742376,-73.984768,#00aa0088
634,40.776321,-73.988176,#aa000088
635,40.757615,-73.998562,#00aa0088
636,40.779453,-73.955437,#aa000088
637,40.766558,-73.962584,#00aa0088
638,40.718088,-74.010237,#aa000088
639,40.742133,-74.004934,#00aa0088
640,40.731196,-73.991261,#aa000088
641,40.733385,-73.996919,#00aa0088
642,40.680802,-73.983433,#aa000088
643,40.685663,-73.994286,#00aa0088
644,40.754096,-73.969128,#aa000088
645,40.731945,-73.99376,#00aa0088
646,40.755554,-73.990926,#aa000088
647,40.758524,-74.000368,#00aa0088
648,40.722772,-73.983163,#aa000088
649,40.72305,-73.992786,#00aa0088
650,40.767217,-73.964676,#aa000088
651,40.754627,-73.963536,#00aa0088
652,40.741428,-73.993816,#aa000088
653,40.762434,-73.974673,#00aa0088
654,40.756212,-73.99776,#aa000088
655,40.779366,-73.96209,#00aa0088
656,40.762234,-73.971473,#aa000088
657,40.715851,-74.00976,#00aa0088
658,40.726325,-73.986254,#aa000088
659,40.787723,-73.974937,#00aa0088
660,40.735431,-73.998062,#aa000088
661,40.747704,-73.989319,#00aa0088
662,40.736126,-73.993561,#aa000088
663,40.714011,-74.01436,#00aa0088
664,40.746701,-73.990068,#aa000088
665,40.77525,-73.959642,#00aa0088
666,40.760644,-73.961147,#aa000088
667,40.764625,-73.958256,#00aa0088
668,40.7468,-73.997492,#aa000088
669,40.751846,-74.002692,#00aa0088
670,40.77232,-73.958706,#aa000088
671,40.800759,-73.937817,#00aa0088
672,40.751366,-73.971226,#aa000088
673,40.71617,-74.001465,#00aa0088
674,40.748149,-73.984921,#aa000088
675,40.721762,-73.995481,#00aa0088
676,40.766637,-73.990215,#aa000088
677,40.787261,-73.97411,#00aa0088
678,40.705694,-73.921446,#aa000088
679,40.702479,-73.904641,#00aa0088
680,40.732352,-73.98915,#aa000088
681,40.725723,-73.99207,#00aa0088
682,40.740275,-73.98436,#aa000088
683,40.736463,-73.974595,#00aa0088
684,40.706002,-74.005762,#aa000088
685,40.723305,-74.00304,#00aa0088
686,40.730644,-74.000704,#aa000088
687,40.733879,-74.001477,#00aa0088
688,40.741701,-73.993944,#aa000088
689,40.718385,-74.005606,#00aa0088
690,40.749233,-73.992433,#aa000088
691,40.76864,-73.987855,#00aa0088
692,40.733467,-73.999597,#aa000088
693,40.73521,-74.008411,#00aa0088
694,40.767374,-73.968852,#aa000088
695,40.774138,-73.980276,#00aa0088
696,40.738809,-73.999922,#aa000088
697,40.735227,-73.992559,#00aa0088
698,40.727602,-74.003161,#aa000088
699,40.727548,-73.988923,#00aa0088
700,40.841584,-73.939566,#aa000088
701,40.720761,-74.010074,#00aa0088
702,40.767449,-73.953333,#aa000088
703,40.735194,-74.009858,#00aa0088
704,40.738801,-73.990761,#aa000088
705,40.750696,-73.992678,#00aa0088
706,40.737946,-73.992417,#aa000088
707,40.750402,-74.002312,#00aa0088
708,40.82579,-73.952807,#aa000088
709,40.760849,-73.960996,#00aa0088
710,40.763852,-73.962059,#aa000088
711,40.731564,-73.974289,#00aa0088
712,40.755685,-73.980653,#aa000088
713,40.704746,-74.007373,#00aa0088
714,40.748757,-73.97325,#aa000088
715,40.748984,-73.990922,#00aa0088
